id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33557673,Guesthouse in Denver · ★4.97 · 1 bedroom · 2 beds · 1 bath,106947890,Daniel,,North Park Hill,39.75791,-104.93968,Entire home/apt,140,1,483,2023-12-27,8.61,1,0,81,2019-BFN-0003109
11370833,Rental unit in Denver · ★4.93 · 1 bedroom · 1 bed · 1 bath,20565369,Heidi And Tom,,Highland,39.76515,-105.01936,Entire home/apt,90,7,45,2023-10-31,0.49,2,0,5,2023-BFN-0002038
952403007031354610,Rental unit in Denver · ★5.0 · 1 bedroom · 2 beds · 1 bath,530350732,Highlands BnB,,Highland,39.76619,-105.01539,Entire home/apt,144,2,24,2023-12-25,5.14,1,0,24,2021-BFN-0005720
16947747,Guesthouse in Denver · ★4.89 · Studio · 1 bed · 1 bath,65414250,Vinny,,Sunnyside,39.77086,-105.01055,Entire home/apt,130,2,122,2023-09-25,1.76,2,41,1,2022-BFN-0014652
834146998964129635,Home in Denver · 1 bedroom · 1 bed · 1 private bath,14126753,Kim And Ben Homes With Hospitality,,Mar Lee,39.68934609166803,-105.04326791574069,Private room,44,29,0,,,29,365,0,
891167000711308896,Home in Denver · ★4.92 · 3 bedrooms · 4 beds · 2 baths,16260493,Garett,,Five Points,39.7583928,-104.9772345,Entire home/apt,251,1,11,2023-11-19,1.76,1,0,11,2023-BFN-0014987
699297710797682101,Home in Denver · ★5.0 · 1 bedroom · 1 bed · 1 private bath,183001053,Lisa,,North Park Hill,39.7513878,-104.9290523,Private room,79,2,30,2023-12-18,2.11,1,0,26,2022-BFN-0010227
36881170,Home in Denver · ★4.85 · 1 bedroom · 1 bed · 1 private bath,38793718,Hasena,,Five Points,39.76034,-104.97518,Private room,47,2,278,2023-12-06,5.18,1,0,72,2020-BFN-0000227
683962829123520112,Guest suite in Denver · ★4.96 · 1 bedroom · 1 bed · 1 bath,28068126,Brett,,West Colfax,39.740895700535944,-105.0366781,Entire home/apt,93,2,68,2023-12-26,4.23,1,0,51,2022-BFN-0008714
996479356738309772,Home in Denver · ★4.75 · 2 bedrooms · 2 beds · 1.5 baths,3019210,James,,Five Points,39.75098,-104.97974,Entire home/apt,173,3,7,2023-11-27,3.39,1,0,7,2023-BFN-0035394
922028604829401408,Home in Denver · ★5.0 · 1 bedroom · 2 beds · 1 bath,12710726,Ben,,Baker,39.71817602940049,-104.99253142155321,Entire home/apt,129,1,3,2023-11-26,1.32,1,243,3,2023-BFN-0024061
41913036,Townhouse in Denver · ★4.93 · 3 bedrooms · 3 beds · 3.5 baths,88815989,Nathan,,Baker,39.71853,-104.99614,Entire home/apt,173,5,44,2023-08-08,1.01,2,167,8,2019-BFN-0009159
690662313989416122,Villa in Denver · ★4.90 · 4 bedrooms · 6 beds · 4 baths,192985281,Jelena,,Baker,39.72464,-104.9906,Entire home/apt,388,2,51,2023-12-16,3.13,2,317,43,2022-BFN-0004371
46216453,Home in Denver · ★4.89 · 2 bedrooms · 2 beds · 1 bath,126644161,Evolve,,Rosedale,39.6784,-104.98218,Entire home/apt,111,30,9,2022-10-31,0.30,1,360,0,
939080907602144261,Home in Denver · ★4.83 · 2 bedrooms · 2 beds · 3 baths,103274068,James,,Five Points,39.7501034,-104.9803791,Entire home/apt,263,3,6,2023-12-02,1.54,1,355,6,2023-BFN-0019411
564687906867621362,Rental unit in Denver · ★4.65 · 2 bedrooms · 3 beds · 1 bath,121718072,Evolve,,Bear Valley,39.66504,-105.0633,Entire home/apt,147,2,17,2023-09-09,0.83,82,315,5,2022-BFN-0000436
20996662,Rental unit in Denver · ★4.92 · Studio · 2 beds · 1 bath,151149715,Cameron,,North Capitol Hill,39.7423,-104.97677,Entire home/apt,92,2,387,2023-12-14,5.09,1,82,58,2017-BFN-0008632
45150350,Home in Denver · ★4.53 · 2 bedrooms · 3 beds · 1 bath,364649316,Matthew,,Barnum,39.71416974412841,-105.03540830758223,Entire home/apt,85,1,245,2023-12-23,6.07,1,0,30,2020-BFN-0004328
